nombre
Wheat Ale
Blonde Ale
Amber Ale
Scotch Ale
Golden Ale
Cream Ale
Pale Ale
Brown Ale
Sour Ale
Stout
Sweet Stout
Rose
Porter
Pilsner
Lager
India Pale Ale (IPA)
Saison
Hefeweizen
Belgian Tripel
Belgian Dubbel
Belgian Quadrupel
Barleywine
Gose
Fruit Beer
American Pale Ale
American Amber Ale
American Blonde Ale
American Wheat Ale
Witbier
